img,idx_label,RGB.ROI_01.redDN,RGB.ROI_01.greenDN,RGB.ROI_01.blueDN,RGB.ROI_01.2G_RBi,RGB.ROI_01.pctR,RGB.ROI_01.pctG,RGB.ROI_01.pctB,RGB.ROI_01.nNDVI,RGB.ROI_01.totalRGB,RGB.ROI_01.AnyColor,RGB.ROI_02.redDN,RGB.ROI_02.greenDN,RGB.ROI_02.blueDN,RGB.ROI_02.2G_RBi,RGB.ROI_02.pctR,RGB.ROI_02.pctG,RGB.ROI_02.pctB,RGB.ROI_02.nNDVI,RGB.ROI_02.totalRGB,RGB.ROI_02.AnyColor,RGB.ROI_03.redDN,RGB.ROI_03.greenDN,RGB.ROI_03.blueDN,RGB.ROI_03.2G_RBi,RGB.ROI_03.pctR,RGB.ROI_03.pctG,RGB.ROI_03.pctB,RGB.ROI_03.nNDVI,RGB.ROI_03.totalRGB,RGB.ROI_03.AnyColor,RGB.ROI_04.redDN,RGB.ROI_04.greenDN,RGB.ROI_04.blueDN,RGB.ROI_04.2G_RBi,RGB.ROI_04.pctR,RGB.ROI_04.pctG,RGB.ROI_04.pctB,RGB.ROI_04.nNDVI,RGB.ROI_04.totalRGB,RGB.ROI_04.AnyColor,RGB.ROI_05.redDN,RGB.ROI_05.greenDN,RGB.ROI_05.blueDN,RGB.ROI_05.2G_RBi,RGB.ROI_05.pctR,RGB.ROI_05.pctG,RGB.ROI_05.pctB,RGB.ROI_05.nNDVI,RGB.ROI_05.totalRGB,RGB.ROI_05.AnyColor,RGB.ROI_06.redDN,RGB.ROI_06.greenDN,RGB.ROI_06.blueDN,RGB.ROI_06.2G_RBi,RGB.ROI_06.pctR,RGB.ROI_06.pctG,RGB.ROI_06.pctB,RGB.ROI_06.nNDVI,RGB.ROI_06.totalRGB,RGB.ROI_06.AnyColor,RGB.ROI_07.redDN,RGB.ROI_07.greenDN,RGB.ROI_07.blueDN,RGB.ROI_07.2G_RBi,RGB.ROI_07.pctR,RGB.ROI_07.pctG,RGB.ROI_07.pctB,RGB.ROI_07.nNDVI,RGB.ROI_07.totalRGB,RGB.ROI_07.AnyColor,RGB.ROI_08.redDN,RGB.ROI_08.greenDN,RGB.ROI_08.blueDN,RGB.ROI_08.2G_RBi,RGB.ROI_08.pctR,RGB.ROI_08.pctG,RGB.ROI_08.pctB,RGB.ROI_08.nNDVI,RGB.ROI_08.totalRGB,RGB.ROI_08.AnyColor,RGB.ROI_09.redDN,RGB.ROI_09.greenDN,RGB.ROI_09.blueDN,RGB.ROI_09.2G_RBi,RGB.ROI_09.pctR,RGB.ROI_09.pctG,RGB.ROI_09.pctB,RGB.ROI_09.nNDVI,RGB.ROI_09.totalRGB,RGB.ROI_09.AnyColor,RGB.ROI_10.redDN,RGB.ROI_10.greenDN,RGB.ROI_10.blueDN,RGB.ROI_10.2G_RBi,RGB.ROI_10.pctR,RGB.ROI_10.pctG,RGB.ROI_10.pctB,RGB.ROI_10.nNDVI,RGB.ROI_10.totalRGB,RGB.ROI_10.AnyColor,RGB.ROI_11.redDN,RGB.ROI_11.greenDN,RGB.ROI_11.blueDN,RGB.ROI_11.2G_RBi,RGB.ROI_11.pctR,RGB.ROI_11.pctG,RGB.ROI_11.pctB,RGB.ROI_11.nNDVI,RGB.ROI_11.totalRGB,RGB.ROI_11.AnyColor,RGB.ROI_12.redDN,RGB.ROI_12.greenDN,RGB.ROI_12.blueDN,RGB.ROI_12.2G_RBi,RGB.ROI_12.pctR,RGB.ROI_12.pctG,RGB.ROI_12.pctB,RGB.ROI_12.nNDVI,RGB.ROI_12.totalRGB,RGB.ROI_12.AnyColor,HSV.ROI_01.Hue,HSV.ROI_01.Saturation,HSV.ROI_01.Value,HSV.ROI_02.Hue,HSV.ROI_02.Saturation,HSV.ROI_02.Value,HSV.ROI_03.Hue,HSV.ROI_03.Saturation,HSV.ROI_03.Value,HSV.ROI_04.Hue,HSV.ROI_04.Saturation,HSV.ROI_04.Value,HSV.ROI_05.Hue,HSV.ROI_05.Saturation,HSV.ROI_05.Value,HSV.ROI_06.Hue,HSV.ROI_06.Saturation,HSV.ROI_06.Value,HSV.ROI_07.Hue,HSV.ROI_07.Saturation,HSV.ROI_07.Value,HSV.ROI_08.Hue,HSV.ROI_08.Saturation,HSV.ROI_08.Value,HSV.ROI_09.Hue,HSV.ROI_09.Saturation,HSV.ROI_09.Value,HSV.ROI_10.Hue,HSV.ROI_10.Saturation,HSV.ROI_10.Value,HSV.ROI_11.Hue,HSV.ROI_11.Saturation,HSV.ROI_11.Value,HSV.ROI_12.Hue,HSV.ROI_12.Saturation,HSV.ROI_12.Value,Lab.ROI_01.L*,Lab.ROI_01.a*,Lab.ROI_01.b*,Lab.ROI_01.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_02.L*,Lab.ROI_02.a*,Lab.ROI_02.b*,Lab.ROI_02.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_03.L*,Lab.ROI_03.a*,Lab.ROI_03.b*,Lab.ROI_03.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_04.L*,Lab.ROI_04.a*,Lab.ROI_04.b*,Lab.ROI_04.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_05.L*,Lab.ROI_05.a*,Lab.ROI_05.b*,Lab.ROI_05.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_06.L*,Lab.ROI_06.a*,Lab.ROI_06.b*,Lab.ROI_06.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_07.L*,Lab.ROI_07.a*,Lab.ROI_07.b*,Lab.ROI_07.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_08.L*,Lab.ROI_08.a*,Lab.ROI_08.b*,Lab.ROI_08.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_09.L*,Lab.ROI_09.a*,Lab.ROI_09.b*,Lab.ROI_09.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_10.L*,Lab.ROI_10.a*,Lab.ROI_10.b*,Lab.ROI_10.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_11.L*,Lab.ROI_11.a*,Lab.ROI_11.b*,Lab.ROI_11.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_12.L*,Lab.ROI_12.a*,Lab.ROI_12.b*,Lab.ROI_12.test(L*a*)=a*(1+(L*)/2550)
cam_2_2010_0824_120007.jpg,10.236,70.272389,69.443563,35.433522,33.181215,0.401214,0.396482,0.202304,-0.005932,175.149474,-68.848907,119.888609,104.908791,70.66078,19.268193,0.405772,0.355072,0.239157,-0.066637,295.45818,-83.475839,93.599162,85.345988,44.363287,32.729526,0.419147,0.382189,0.198664,-0.046121,223.308437,-90.218576,115.389104,101.889104,62.351601,26.037503,0.41265,0.364371,0.222979,-0.062132,279.629809,-92.575005,105.268613,97.657783,57.53511,32.511844,0.404162,0.374941,0.220897,-0.037505,260.461506,-87.856176,124.713014,111.550959,79.989726,18.399178,0.394345,0.352726,0.252929,-0.055709,316.253699,-76.284521,105.351406,101.290461,67.292345,29.937172,0.384587,0.369762,0.245651,-0.019652,273.934212,-72.057177,51.320358,56.192132,23.628331,37.435575,0.391338,0.428487,0.180175,0.045314,131.14082,-60.255828,110.931153,106.866262,70.237404,32.563967,0.385131,0.371019,0.24385,-0.018664,288.034819,-77.322606,116.693998,109.163435,71.146445,30.486427,0.392904,0.367549,0.239547,-0.033342,297.003878,-83.564543,108.731166,101.898011,67.290434,27.774422,0.391232,0.366646,0.242122,-0.032442,277.919611,-76.048309,237.464503,254.838742,245.172414,27.040568,0.321996,0.345555,0.332448,0.035292,737.475659,-1.958418,0.163166,0.526623,0.278459,0.115599,0.420292,0.470151,0.138734,0.550097,0.367232,0.124139,0.476374,0.452506,0.139838,0.465356,0.412818,0.118049,0.369312,0.489094,0.149388,0.375576,0.415105,0.188548,0.587265,0.221096,0.150422,0.373384,0.435843,0.139919,0.401011,0.457695,0.145812,0.417483,0.432302,0.406982,0.068177,0.999368,73.259271,124.108664,148.459595,122.32049,114.933243,130.236173,149.561032,130.488129,92.173612,126.931283,152.892016,126.043939,111.074146,129.189555,152.350419,129.243974,105.384941,126.42132,151.912014,126.192519,121.186301,129.590411,147.622192,130.158896,108.426073,125.413561,147.921028,125.336153,57.221066,121.6301,146.866049,119.112646,114.25244,125.118175,149.155368,125.326825,117.322253,126.490674,150.396676,126.853888,109.212753,126.433127,148.703738,126.394095,250.838742,120.851927,130.751521,127.526685
cam_2_2010_0825_120007.jpg,10.237,105.935547,95.320972,80.631741,4.074656,0.375807,0.338152,0.286042,-0.052742,281.888259,-39.993036,156.458956,129.886086,110.806326,-7.493111,0.393953,0.327044,0.279003,-0.0928,397.151368,-64.732389,127.516373,109.642068,88.956683,2.81108,0.391016,0.336207,0.272777,-0.075369,326.115123,-59.245074,153.062433,128.021706,104.842682,-1.861702,0.39661,0.331725,0.271665,-0.089086,385.926821,-71.398775,136.663706,118.107868,98.770305,0.781726,0.386556,0.33407,0.279374,-0.072833,353.541878,-57.230964,165.301918,140.073151,119.268904,-4.424521,0.389272,0.32986,0.280868,-0.082616,424.643973,-66.83726,134.023006,121.105072,101.859545,6.327593,0.375428,0.339242,0.285331,-0.050633,356.987623,-51.408987,82.306099,76.881661,63.46378,7.993443,0.369663,0.3453,0.285036,-0.034076,222.65154,-32.2602,127.820364,115.596149,96.547613,6.824321,0.375982,0.340025,0.283994,-0.050219,339.964126,-50.321287,126.894183,112.148661,94.100277,3.302862,0.3809,0.336638,0.282462,-0.061686,333.143121,-50.84229,125.136803,108.878084,93.085521,-0.466156,0.382564,0.332858,0.284578,-0.069477,327.100408,-47.843844,244.454361,254.913793,218.257606,47.115619,0.340643,0.355218,0.304138,0.020945,717.625761,-62.852941,0.098455,0.241072,0.415434,0.068128,0.287242,0.613565,0.089572,0.303521,0.500064,0.079803,0.313248,0.600245,0.086148,0.275894,0.535936,0.073783,0.274765,0.648243,0.101128,0.238147,0.52558,0.154656,0.256894,0.323688,0.102851,0.243284,0.501256,0.094406,0.257651,0.497624,0.093836,0.244565,0.490956,0.215746,0.143797,0.999662,104.605992,130.56,138.050202,130.283827,143.616534,136.320008,142.306423,138.117108,120.982563,132.790348,142.334866,133.362261,141.035354,135.324629,144.346121,136.971628,129.965313,133.112944,141.489002,134.155157,152.972877,135.432329,142.774932,137.714649,131.488094,130.689627,140.51379,131.79091,83.618027,128.47398,136.771232,127.144805,125.893959,130.5244,140.455025,131.337949,123.012742,131.680702,140.312465,132.352673,119.189594,132.513943,139.227603,132.991492,251.065923,119.742394,144.446247,126.366539
cam_2_2010_0826_120007.jpg,10.238,73.572794,70.679676,35.69587,32.090688,0.408855,0.392778,0.198367,-0.020056,179.94834,-72.860729,126.632253,108.33825,73.943528,16.100718,0.409927,0.350707,0.239366,-0.077857,308.914031,-87.083447,104.645843,93.325942,51.986476,30.019565,0.418653,0.373366,0.207981,-0.057179,249.958262,-93.998833,129.003761,110.688803,71.564582,20.809263,0.41446,0.355619,0.229921,-0.07641,311.257146,-96.5634,107.870981,96.675973,57.383672,28.097293,0.41183,0.36909,0.21908,-0.054731,261.930626,-89.779611,135.616164,117.78137,85.135068,14.811507,0.4006,0.347917,0.251483,-0.070383,338.532603,-83.127397,111.146778,104.750706,69.530203,28.824432,0.389404,0.366996,0.2436,-0.029626,285.427687,-76.837078,56.931307,60.884679,25.896336,38.941715,0.396148,0.423657,0.180196,0.033555,143.712323,-66.023314,113.554999,107.613295,69.886046,31.785545,0.390151,0.369736,0.240113,-0.026865,291.054339,-81.396202,119.338873,108.878301,70.31856,28.099169,0.399747,0.364708,0.235545,-0.045836,298.535734,-87.580055,110.997178,101.362924,65.544115,26.184555,0.399408,0.364741,0.235851,-0.045368,277.904217,-81.271872,239.495943,254.978702,244.761663,25.699797,0.323978,0.344922,0.331101,0.031312,739.236308,-4.951318,0.154756,0.553405,0.289263,0.109403,0.427753,0.496597,0.131819,0.529707,0.410382,0.114498,0.46626,0.505897,0.130128,0.482407,0.423023,0.109123,0.385586,0.531831,0.142516,0.388467,0.436563,0.180557,0.588237,0.240596,0.145301,0.391118,0.445833,0.132595,0.423239,0.468025,0.139782,0.455711,0.44033,0.389275,0.060721,0.999916,74.950931,125.000648,149.065911,123.282547,119.125946,131.651853,150.061129,132.123009,101.394041,128.18741,153.307201,127.754792,121.152482,131.217064,152.590157,131.790945,105.190355,128.193739,152.067682,127.951949,128.362192,131.434795,148.755205,132.381238,112.404951,126.271492,148.837482,126.390581,62.63062,121.818589,148.205454,119.555659,115.386969,125.797415,150.048008,126.063167,117.674238,127.716713,151.122992,128.101077,108.950821,127.495391,149.786027,127.442934,251.198783,121.206897,131.025355,127.918374
cam_2_2010_0827_120033.jpg,10.239,77.74834,79.623968,55.343968,26.155628,0.365503,0.37432,0.260177,0.011918,212.716275,-46.684372,131.401514,118.518727,96.084417,9.551523,0.379768,0.342535,0.277697,-0.051548,346.004657,-57.751407,107.823711,101.782797,72.085055,23.656827,0.382772,0.361327,0.255901,-0.02882,281.691563,-65.436397,132.047711,120.136579,91.642059,16.583387,0.384053,0.349411,0.266536,-0.047232,343.826349,-68.900172,111.876058,106.23308,79.567682,21.02242,0.375831,0.356874,0.267296,-0.025872,297.676819,-58.973773,139.541096,128.022877,106.063699,10.440959,0.373476,0.342648,0.283875,-0.043048,373.627671,-55.436575,114.783398,113.25898,89.373873,22.360689,0.361618,0.356815,0.281567,-0.006685,317.416252,-49.294632,62.30204,69.05995,42.45535,33.36251,0.358434,0.397313,0.244253,0.051445,173.81734,-46.451291,117.65339,116.500659,90.662886,24.685044,0.362214,0.358666,0.27912,-0.004923,324.816935,-52.828277,124.108403,118.285503,92.209234,20.25337,0.370912,0.35351,0.275578,-0.024022,334.603139,-57.975439,115.718753,111.211331,87.061964,19.641944,0.36854,0.354185,0.277274,-0.019863,313.992049,-52.806155,224.10142,254.994929,254.786004,31.102434,0.305364,0.34746,0.347176,0.064483,733.882353,30.475659,0.179678,0.328084,0.313757,0.10735,0.271427,0.5153,0.139225,0.348319,0.423076,0.118814,0.31766,0.517838,0.13817,0.297635,0.438905,0.111625,0.246811,0.547421,0.159209,0.235163,0.454533,0.201986,0.392936,0.271043,0.161055,0.241604,0.467217,0.139581,0.264064,0.487599,0.152063,0.285209,0.463292,0.498912,0.121164,0.999992,84.067854,123.881457,142.126478,122.621649,128.571512,130.304289,142.326218,131.253288,109.350518,126.631564,145.808608,126.599312,129.510746,129.22824,145.523748,130.217,114.20643,126.760998,143.922589,126.970101,137.539589,129.730822,141.703014,131.131894,120.488497,125.391632,141.584421,125.907385,71.396649,121.368859,142.983035,119.531508,123.783962,125.047217,142.54814,125.723157,126.584303,126.895291,143.305448,127.720573,118.383051,126.448692,142.323878,126.864388,249.045639,117.8286,124.448276,124.253523
cam_2_2010_0828_120007.jpg,10.24,69.016842,65.740729,32.447287,30.017328,0.412768,0.393175,0.194057,-0.024311,167.204858,-69.862996,119.664273,102.153115,68.711818,15.930138,0.411884,0.35161,0.236506,-0.078944,290.529206,-84.393751,92.142857,80.860713,40.886044,28.692524,0.430796,0.378049,0.191155,-0.065213,213.889614,-91.231482,116.198582,99.441973,61.014399,21.670965,0.420013,0.359444,0.220543,-0.077706,276.654954,-93.611756,105.879442,93.890017,54.75,27.150592,0.415997,0.368891,0.215111,-0.060016,254.519459,-90.269459,124.648493,109.640274,78.800822,15.831233,0.398124,0.350188,0.251688,-0.064059,313.089589,-76.687123,105.712498,99.046011,65.411274,26.96825,0.391282,0.366607,0.242112,-0.032558,270.169783,-73.935961,50.968984,54.276749,22.316819,35.267694,0.399561,0.425491,0.174948,0.031429,127.562552,-60.612094,110.424162,104.509628,68.182801,30.412292,0.390031,0.36914,0.240829,-0.027518,283.116592,-78.568188,116.979686,107.21145,69.677008,27.766205,0.398069,0.364828,0.237103,-0.043571,293.868144,-84.837119,108.452484,99.049638,65.254545,24.392247,0.397616,0.363143,0.239241,-0.045314,272.756666,-76.993032,242.272819,254.986815,245.31643,22.384381,0.32626,0.343381,0.330359,0.025568,742.576065,-6.626775,0.152137,0.553165,0.271202,0.108747,0.435024,0.469272,0.12999,0.578348,0.361353,0.115859,0.49341,0.455681,0.127304,0.495301,0.415213,0.112574,0.378124,0.488818,0.139488,0.393352,0.414839,0.176971,0.590661,0.214262,0.14402,0.388552,0.433557,0.133209,0.414404,0.458763,0.137168,0.432524,0.429085,0.37232,0.049941,0.999948,69.887449,125.420891,148.498947,123.447968,112.848438,131.567436,149.622744,131.714402,88.35553,128.550491,152.942885,127.459351,109.437997,130.838276,152.345154,130.80944,102.623942,128.629442,152.196277,128.257372,119.780274,130.530137,147.583973,131.030772,106.715727,126.63393,148.184717,126.470832,55.458784,122.44744,146.751041,119.828447,112.256397,125.993669,149.381693,126.105156,115.918375,127.596307,150.52133,127.892449,106.930922,127.693773,148.724748,127.540086,251.926978,122.177485,131.026369,128.977595
cam_2_2010_0829_120007.jpg,10.241,82.255061,80.328259,45.716437,32.68502,0.394888,0.385638,0.219474,-0.011851,208.299757,-71.150445,138.74151,120.544731,88.915777,13.432175,0.398451,0.346192,0.255357,-0.07018,348.202018,-81.454687,113.303563,103.204023,63.231619,29.872863,0.405033,0.368929,0.226038,-0.046648,279.739205,-90.044347,139.3804,121.916613,83.653342,20.799484,0.404059,0.353432,0.242508,-0.066835,344.950355,-93.990329,118.156937,108.264805,71.721235,26.651438,0.39631,0.36313,0.24056,-0.043689,298.142978,-82.979272,146.486712,130.617397,98.382603,16.365479,0.390125,0.347862,0.262014,-0.057268,375.486712,-80.338904,124.222118,118.092291,84.713575,27.24889,0.379852,0.361108,0.259041,-0.025297,327.027983,-72.88726,70.819629,74.741361,38.831703,39.831391,0.38407,0.405338,0.210592,0.026942,184.392694,-67.897585,129.143498,122.715906,87.42258,28.865735,0.380638,0.361693,0.257669,-0.025521,339.281984,-77.014244,137.702493,127.011634,91.389658,24.931117,0.386692,0.35667,0.256638,-0.040386,356.103786,-81.934811,131.771584,121.665288,87.277103,24.28189,0.386751,0.357089,0.256159,-0.039877,340.713976,-78.882667,234.507099,254.776876,249.067951,25.978702,0.317609,0.345062,0.33733,0.041427,738.351927,8.851927,0.158306,0.467771,0.323863,0.107097,0.362456,0.544084,0.133756,0.458702,0.444329,0.115511,0.411801,0.54659,0.131574,0.40213,0.463361,0.113274,0.334037,0.574471,0.142507,0.324682,0.487746,0.181396,0.48534,0.294745,0.142272,0.325518,0.506725,0.130644,0.339889,0.540024,0.137205,0.361266,0.521417,0.453039,0.079555,0.999125,85.457004,124.445992,148.612955,123.248236,131.66796,131.622356,148.150592,132.740783,111.562161,127.540811,152.020389,127.618944,132.393939,130.688373,151.614012,131.83607,117.047377,127.676819,149.984772,128.029676,140.898082,130.462877,147.833973,132.043682,126.200188,126.265572,147.388134,127.06774,77.991257,121.733243,148.446191,120.205193,131.010815,126.1799,148.306252,127.219564,136.172484,127.933333,149.010526,129.246405,130.105717,127.710247,148.474832,128.717191,250.772819,120.385396,128.544625,127.031275
cam_2_2010_0830_120007.jpg,10.242,70.942834,69.372632,39.967611,27.834818,0.393508,0.384798,0.221694,-0.011191,180.283077,-60.380243,123.067339,106.54803,77.494469,12.534252,0.400727,0.346938,0.252335,-0.071943,307.109839,-74.626431,101.417656,91.936088,56.092263,26.362257,0.406572,0.368561,0.224867,-0.049037,249.446008,-81.169218,122.710294,107.242424,73.00634,18.768214,0.405039,0.353983,0.240978,-0.067265,302.959059,-83.940039,104.307953,94.986887,61.343063,24.322758,0.400203,0.36444,0.235357,-0.04677,260.637902,-76.608714,132.000959,117.624247,89.372466,13.875068,0.389386,0.346977,0.263637,-0.057593,338.997671,-70.880274,107.888605,103.821068,73.552536,26.200996,0.378209,0.36395,0.257842,-0.019213,285.262209,-64.604601,56.52831,60.392381,31.151644,33.104808,0.381761,0.407857,0.210381,0.033049,148.072336,-54.617402,112.331047,108.400686,75.448167,29.022158,0.379266,0.365996,0.254738,-0.017806,296.1799,-69.8354,118.497507,109.58578,76.359372,24.314681,0.389228,0.359955,0.250817,-0.039072,304.442659,-75.364543,109.024624,101.149477,70.429885,22.844446,0.388536,0.360471,0.250994,-0.03747,280.603986,-69.314331,232.210953,254.94929,253.615619,24.072008,0.31347,0.344165,0.342365,0.046675,740.775862,20.070994,0.158839,0.47659,0.28031,0.106798,0.381734,0.482617,0.132669,0.474238,0.397718,0.114964,0.426477,0.481217,0.130723,0.425462,0.409051,0.111762,0.335398,0.51768,0.148639,0.333204,0.42522,0.180947,0.491126,0.237909,0.15067,0.336767,0.442493,0.13332,0.36628,0.464774,0.141097,0.394466,0.432489,0.490026,0.08923,0.999849,73.318543,124.893279,145.791579,123.096704,116.904716,131.376092,146.931302,131.731823,99.514656,127.800645,150.06549,127.275142,117.054159,130.4611,149.599613,130.822,103.114213,127.851523,148.71066,127.506284,127.444384,130.360137,145.794521,131.251922,111.058926,125.792681,145.769138,125.844919,62.265404,122.405287,145.102311,120.113928,115.901873,125.406225,147.116856,125.696473,118.15771,127.539797,147.972484,127.94781,108.458872,127.245408,146.717562,127.168506,250.861055,120.034483,125.791075,126.665143
cam_2_2010_0831_120007.jpg,10.243,67.598704,68.555628,44.455223,25.057328,0.374281,0.379579,0.24614,0.007028,180.609555,-47.243887,119.445954,105.783621,84.220842,7.900446,0.385994,0.341844,0.272163,-0.06066,309.450417,-56.787891,98.54548,91.070021,61.726642,21.867921,0.392077,0.362335,0.245588,-0.039424,251.342143,-66.162216,119.860198,106.994735,79.655921,14.473351,0.391047,0.349073,0.25988,-0.056712,306.510853,-67.54309,100.51692,93.090525,65.997885,19.666244,0.387191,0.358585,0.254224,-0.038358,259.60533,-61.611675,129.249041,117.088219,96.274247,8.653151,0.377247,0.341752,0.281001,-0.049367,342.611507,-53.788767,104.018028,102.05637,78.591417,21.503296,0.365404,0.358513,0.276083,-0.009519,284.665815,-48.891565,53.840445,59.458888,34.721586,30.355745,0.363735,0.401692,0.234572,0.049589,148.02092,-43.856162,108.558428,106.474545,81.415721,22.974941,0.366196,0.359167,0.274637,-0.009691,296.448694,-52.20153,113.227147,106.934441,81.601477,19.040259,0.375219,0.354366,0.270416,-0.028582,301.763066,-56.958633,104.621929,99.068793,75.631803,17.883854,0.374556,0.354675,0.270769,-0.027263,279.322525,-52.427115,228.272819,255,254.994929,26.732252,0.309201,0.345403,0.345396,0.055305,738.267748,26.717039,0.174333,0.389531,0.271334,0.102453,0.303635,0.468416,0.134036,0.398026,0.38654,0.113771,0.354309,0.47004,0.130916,0.356419,0.394204,0.107479,0.265108,0.50688,0.155881,0.263316,0.412189,0.197692,0.428964,0.233613,0.156004,0.262404,0.430261,0.136508,0.291026,0.444988,0.145808,0.321642,0.417973,0.499971,0.104812,1,71.991255,124.267692,142.38332,122.415434,115.706191,130.876577,142.274791,131.169442,98.352852,127.41546,146.175259,126.833488,116.355255,129.904363,145.391468,130.228118,100.876058,127.607868,144.819797,127.151285,126.652329,130.193562,141.399589,131.043768,109.006189,125.624243,141.653437,125.575284,60.965758,122.020608,142.275083,119.67426,113.785808,125.540227,142.476391,125.726608,115.138873,127.240997,143.27036,127.497419,106.016654,126.99376,142.37353,126.795383,249.994929,119.418864,125.002028,125.974956
cam_2_2010_0901_120007.jpg,10.244,96.174575,83.95498,68.86251,2.872874,0.386256,0.337179,0.276565,-0.067838,248.992065,-42.404534,144.501455,118.205123,98.899088,-6.990297,0.399611,0.32689,0.2735,-0.100098,361.605667,-64.908403,125.171209,105.600673,82.330404,3.699732,0.399777,0.337272,0.262951,-0.084805,313.102286,-66.111073,145.754997,119.618203,95.617988,-2.136579,0.403763,0.33136,0.264876,-0.098491,360.991188,-74.137223,124.508037,105.988579,86.280457,1.188663,0.393046,0.334584,0.27237,-0.080346,316.777073,-57.935702,154.281918,129.080137,107.248493,-3.370137,0.394976,0.330457,0.274566,-0.088938,390.610548,-68.865068,128.168707,113.918068,93.322212,6.345217,0.382127,0.339639,0.278234,-0.058866,335.408987,-55.442352,81.368443,74.807764,59.056619,9.190466,0.378048,0.347567,0.274385,-0.042008,215.232827,-38.062968,131.585334,117.285149,94.987602,7.997362,0.382673,0.341086,0.276241,-0.05746,343.858085,-58.895278,136.935365,118.176916,95.906002,3.512465,0.390109,0.336669,0.273222,-0.07353,351.018283,-63.300277,130.049799,111.960296,92.077134,1.793658,0.389269,0.335123,0.275608,-0.074747,334.087229,-57.855827,243.943205,254.993915,245.945233,20.099391,0.327492,0.342328,0.33018,0.022149,744.882353,-7.046653,0.09238,0.286997,0.377155,0.069915,0.31241,0.566672,0.090925,0.346124,0.490867,0.080658,0.344594,0.571588,0.086615,0.308338,0.488267,0.076565,0.30243,0.605027,0.099213,0.271174,0.502622,0.139477,0.299457,0.319739,0.103065,0.277087,0.516021,0.09296,0.298825,0.537001,0.095719,0.286846,0.510131,0.362991,0.043357,0.999976,92.906721,131.318543,138.761134,130.438282,131.816418,136.381719,142.652241,137.548527,117.078808,133.344203,144.140249,133.714367,132.937997,135.837524,145.203417,137.059422,117.648477,133.273266,142.006768,133.673006,142.071507,135.478219,143.589041,137.182137,124.503969,131.235167,141.60931,131.981611,81.506141,128.685054,138.339717,127.247119,127.989185,130.999472,142.459246,131.923619,129.902678,132.895845,143.154201,133.933093,122.85654,132.801042,141.796966,133.470595,252.177485,122.893509,131.002028,129.745544
cam_2_2010_0902_120035.jpg,10.245,92.826073,79.675951,65.481943,1.043887,0.390052,0.334795,0.275153,-0.076232,237.983968,-41.538138,141.068504,113.630701,96.353192,-10.160295,0.401845,0.323686,0.27447,-0.107726,351.052397,-61.99282,123.090616,102.334386,80.136473,1.441683,0.402834,0.334906,0.26226,-0.092076,305.561475,-65.152056,142.919622,115.608855,93.376961,-5.078874,0.406131,0.328523,0.265347,-0.105639,351.905437,-71.774554,122.069797,102.978849,83.770728,0.117174,0.395279,0.33346,0.271261,-0.08483,308.819374,-57.507191,149.943014,123.483151,104.483973,-7.460685,0.396769,0.326753,0.276478,-0.096772,377.910137,-64.458219,125.135611,109.700928,91.151352,3.114893,0.383866,0.336518,0.279616,-0.065725,325.987892,-52.533836,78.838676,71.3954,56.176207,7.775916,0.381951,0.345891,0.272158,-0.049545,206.410283,-37.881661,127.902928,112.981799,92.450013,5.610657,0.383707,0.338944,0.277349,-0.061943,333.33474,-55.984701,133.90397,114.092336,93.363804,0.916898,0.392266,0.334229,0.273505,-0.079887,341.360111,-61.268698,126.555739,107.34115,89.189861,-1.063301,0.391708,0.332236,0.276055,-0.08215,323.086749,-55.517166,247.475659,254.948276,247.537525,14.883367,0.329985,0.339949,0.330067,0.014873,749.96146,-7.348884,0.086029,0.297303,0.364024,0.063591,0.31424,0.55321,0.085913,0.355284,0.482708,0.075213,0.348591,0.560469,0.084325,0.316009,0.478705,0.069249,0.301749,0.588012,0.092773,0.271121,0.490728,0.128673,0.309757,0.309697,0.098133,0.276631,0.50158,0.087697,0.302505,0.525114,0.088793,0.291656,0.496373,0.333783,0.031123,0.999797,88.638866,131.91336,138.483725,130.808333,127.684068,137.16243,141.817194,138.113641,114.00913,134.064735,143.82172,134.275513,129.338384,136.600043,144.557812,137.635974,114.712352,133.632403,141.879019,133.879353,137.042603,136.397671,142.397397,137.844161,120.609175,131.999327,140.760527,132.548505,78.044234,129.160803,138.254788,127.542203,123.902137,131.523081,141.712741,132.240121,126.136288,133.577655,142.59723,134.422928,118.54783,133.535201,141.138549,133.982823,252.938134,124.738337,130.783976,131.730441
